2026-04-28_16-02-52,30,main.go:2026-04-28_16-02-52
2026-04-28_16-02-53,30,main.go:2026-04-28_16-02-52
2026-04-28_16-02-54,30,main.go:2026-04-28_16-02-52
2026-04-28_16-05-54,0,main.go:2026-04-28_16-05-54
2026-04-28_16-06-04,70,main.go:2026-04-28_16-06-04
2026-04-28_16-09-12,40,main.go:2026-04-28_16-09-12
2026-04-28_16-10-03,60,main.go:2026-04-28_16-10-03
2026-04-28_16-10-21,70,main.go:2026-04-28_16-10-21
2026-04-28_16-13-06,0,main.go:2026-04-28_16-13-06
2026-04-28_16-13-28,70,main.go:2026-04-28_16-13-28
2026-04-28_16-15-37,70,main.go:2026-04-28_16-15-37
2026-04-28_16-16-04,40,main.go:2026-04-28_16-16-04
2026-04-28_16-17-12,40,main.go:2026-04-28_16-17-12
2026-04-28_16-17-30,40,main.go:2026-04-28_16-17-30
2026-04-28_16-18-37,70,main.go:2026-04-28_16-18-37
2026-04-28_16-19-39,40,main.go:2026-04-28_16-19-39
2026-04-28_16-20-43,40,main.go:2026-04-28_16-20-43
2026-04-28_16-21-50,70,main.go:2026-04-28_16-21-50
2026-04-28_16-25-37,0,main.go:2026-04-28_16-25-37
2026-04-28_16-25-47,50,main.go:2026-04-28_16-25-47
2026-04-28_16-29-37,40,main.go:2026-04-28_16-29-37
2026-04-28_16-30-49,70,main.go:2026-04-28_16-30-49
2026-04-28_16-33-08,30,main.go:2026-04-28_16-33-08
2026-04-28_16-34-37,70,main.go:2026-04-28_16-34-37
2026-04-28_16-41-12,100,main.go:2026-04-28_16-41-12
2026-04-28_16-41-39,100,main.go:2026-04-28_16-41-12
